Name,Type,County,Government,Population,Area_Total_sq_mi,Area_Land_sq_mi,Year_Incorporated
Montague,Town,Franklin,Representative town meeting,8580,31.5,30.2,1775
Ayer,Town,Middlesex,Open town meeting,8479,9.6,9.0,1871
Georgetown,Town,Essex,Open town meeting,8470,13.2,12.9,1838
Millis,Town,Norfolk,Open town meeting,8460,12.3,12.2,1885
Lancaster,Town,Worcester,Open town meeting,8441,28.2,27.7,1653
Cohasset,Town,Norfolk,Open town meeting,8381,31.4,9.8,1775
Westminster,Town,Worcester,Open town meeting,8213,37.3,35.3,1770
Boxford,Town,Essex,Open town meeting,8203,24.4,23.6,1685
Adams,Town,Berkshire,Representative town meeting,8166,23.0,22.9,1778
Monson,Town,Hampden,Open town meeting,8150,44.8,44.1,1775
Templeton,Town,Worcester,Open town meeting,8149,32.4,32.0,1762
Dighton,Town,Bristol,Open town meeting,8101,22.6,22.0,1712
Upton,Town,Worcester,Open town meeting,8000,21.7,21.5,1735
Sterling,Town,Worcester,Open town meeting,7985,31.6,30.5,1781
West Boylston,Town,Worcester,Open town meeting,7877,13.8,12.9,1808
Halifax,Town,Plymouth,Open town meeting,7749,17.3,16.2,1734
West Bridgewater,Town,Plymouth,Open town meeting,7707,15.7,15.3,1822
Orange,Town,Franklin,Open town meeting,7569,36.0,35.1,1810
Hamilton,Town,Essex,Open town meeting,7561,14.9,14.2,1793
Williamstown,Town,Berkshire,Open town meeting,7513,46.9,46.8,1765
Shirley,Town,Middlesex,Open town meeting,7431,15.9,15.8,1775
Stow,Town,Middlesex,Open town meeting,7174,18.1,17.6,1683
Great Barrington,Town,Berkshire,Open town meeting,7172,45.8,44.8,1761
Lincoln,Town,Middlesex,Open town meeting,7014,15.0,14.4,1754
Rockport,Town,Essex,Open town meeting,6992,17.5,7.0,1840
Harvard,Town,Worcester,Open town meeting,6851,27.0,26.4,1732
Berkley,Town,Bristol,Open town meeting,6764,17.4,16.5,1735
Groveland,Town,Essex,Open town meeting,6752,9.4,9.0,1850
Merrimac,Town,Essex,Open town meeting,6723,8.8,8.5,1876
Newbury,Town,Essex,Open town meeting,6716,26.3,23.4,1635
Chatham,Town,Barnstable,Open town meeting,6594,24.4,16.3,1712
Topsfield,Town,Essex,Open town meeting,6569,12.8,11.9,1650
Mattapoisett,Town,Plymouth,Open town meeting,6508,24.2,17.4,1857
Dalton,Town,Berkshire,Open town meeting,6330,21.9,21.8,1784
Ashburnham,Town,Worcester,Open town meeting,6315,41.0,38.7,1765
Orleans,Town,Barnstable,Open town meeting,6307,22.7,14.1,1797
Mendon,Town,Worcester,Open town meeting,6228,18.3,18.1,1667
Southampton,Town,Hampshire,Open town meeting,6224,29.1,28.2,1775
Rowley,Town,Essex,Open town meeting,6161,20.3,18.2,1639
Granby,Town,Hampshire,Open town meeting,6110,28.1,27.8,1768
Hopedale,Town,Worcester,Open town meeting,6017,5.3,5.2,1886
Dover,Town,Norfolk,Open town meeting,5923,15.4,15.3,1836
Lee,Town,Berkshire,Open town meeting,5788,27.0,26.1,1777
Eastham,Town,Barnstable,Open town meeting,5752,25.7,14.0,1646
Rochester,Town,Plymouth,Open town meeting,5717,36.4,33.9,1686
Bolton,Town,Worcester,Open town meeting,5665,20.0,19.9,1738
Barre,Town,Worcester,Open town meeting,5530,44.6,44.3,1774
Boxborough,Town,Middlesex,Open town meeting,5506,10.4,10.4,1835
Manchester-by-the-Sea,Town,Essex,Open town meeting,5395,18.3,9.2,1645
Marion,Town,Plymouth,Open town meeting,5347,26.1,12.1,1852
Oak Bluffs,Town,Dukes,Open town meeting,5341,26.0,7.4,1880
Hadley,Town,Hampshire,Open town meeting,5325,24.6,23.1,1661
Carlisle,Town,Middlesex,Open town meeting,5237,15.6,15.4,1780
Edgartown,Town,Dukes,Open town meeting,5168,122.7,27.0,1671
Lenox,Town,Berkshire,Open town meeting,5095,21.7,21.2,1775
Deerfield,Town,Franklin,Open town meeting,5090,33.4,32.4,1677
Paxton,Town,Worcester,Open town meeting,5004,15.5,14.7,1775
Wenham,Town,Essex,Open town meeting,4979,8.1,7.6,1643
Warren,Town,Worcester,Open town meeting,4975,27.6,27.5,1742
Hampden,Town,Hampden,Open town meeting,4966,19.7,19.6,1878
Boylston,Town,Worcester,Open town meeting,4849,19.7,16.0,1785
Tisbury,Town,Dukes,Open town meeting,4815,19.1,6.5,1671
Avon,Town,Norfolk,Open town meeting,4777,4.6,4.4,1888
North Brookfield,Town,Worcester,Open town meeting,4735,21.7,21.1,1812
West Newbury,Town,Essex,Open town meeting,4500,14.7,13.4,1819
Sherborn,Town,Middlesex,Open town meeting,4401,16.2,16.0,1674
Hubbardston,Town,Worcester,Open town meeting,4328,42.0,41.0,1775
West Brookfield,Town,Worcester,Open town meeting,3833,21.1,20.5,1848
Brimfield,Town,Hampden,Open town meeting,3694,35.2,34.7,1731
Essex,Town,Essex,Open town meeting,3675,15.9,14.0,1819
Provincetown,Town,Barnstable,Open town meeting,3664,17.5,9.7,1727
